n,tiempo[ms]
1,0
101,2
201,9.1
301,20
401,33.9
501,51
601,71.1
701,94.2
801,121.6
901,150.3
1001,184.6
1101,216.3
1201,254.4
1301,305
1401,350.7
1501,955.2
1601,678.9
1701,526.9
1801,579.4
1901,649.6
2001,678.3
2101,739.8
2201,822.5
2301,888.6
2401,961.3
2501,1050.3
2601,1116
2701,1215.9
2801,1303.8
2901,1399.7
3001,1486.4
3101,1583.3
3201,1692.9
3301,1788.5
3401,1894.9
3501,2016.5
3601,2117
3701,2242
3801,2351.4
3901,2486.5
4001,2602.2
4101,2738.1
4201,2864.9
4301,3006.6
4401,3148.9
4501,3291.7
4601,3620.3
4701,3603.3
4801,3742
4901,3889.1
5001,4039.1
5101,4203.1
5201,4367.6
5301,4530.9
5401,4698.4
5501,4899.2
5601,5051.1
5701,5228.9
5801,5411.8
5901,5618
6001,6034.3
6101,5993.8
6201,6226.8
6301,6360.9
6401,6593.4
6501,6793
6601,7016.8
6701,7284.8
6801,7405.6
6901,7634.2
7001,7837.8
7101,8061.3
7201,8287
7301,8517.9
7401,8748.2
7501,8995.6
7601,9218.4
7701,9459.6
7801,9706.2
7901,9956.9
8001,10204.3
8101,10455.8
8201,10724.7
8301,10978.6
8401,11247.3
8501,11514.3
8601,11780.2
8701,12047.8
8801,12321.7
8901,12614.4
9001,12878.4
9101,13184.5
9201,13472.3
9301,13762.7
9401,14038.4
9501,14333.9
9601,14646.9
9701,14942.9
9801,15266.8
9901,15989
