n,tiempo[ms]
1,0
101,9.3
201,20.1
301,30.6
401,39.1
501,47.3
601,59.7
701,70.1
801,78.2
901,88.4
1001,94.7
1101,106.6
1201,124.1
1301,136.4
1401,138.2
1501,143.1
1601,142.1
1701,150.9
1801,158.9
1901,170.1
2001,175.4
2101,183.3
2201,201.1
2301,211.5
2401,218.3
2501,226.8
2601,242.9
2701,254.5
2801,263.8
2901,266.4
3001,279.2
3101,277.7
3201,286.7
3301,295.8
3401,304
3501,321
3601,323.2
3701,331.5
3801,340.3
3901,347.1
4001,358.9
4101,362.5
4201,377.7
4301,385.8
4401,400.2
4501,418.9
4601,413.6
4701,428.5
4801,445.9
4901,456.3
5001,458.7
5101,464
5201,487.7
5301,489.1
5401,501.1
5501,516.6
5601,531.7
5701,524.7
5801,537.5
5901,552.7
6001,547.3
6101,553.7
6201,570.4
6301,569.5
6401,587
6501,592.5
6601,653.4
6701,670.7
6801,664.5
6901,681.6
7001,686.6
7101,692.1
7201,710
7301,711.7
7401,734.7
7501,738.6
7601,752.1
7701,755.9
7801,758.1
7901,773
8001,718
8101,728.3
8201,720.2
8301,748.5
8401,755.2
8501,788.6
8601,844.7
8701,860.5
8801,865.9
8901,861.9
9001,825.7
9101,853.3
9201,839.8
9301,942.2
9401,946.9
9501,972.5
9601,973.8
9701,920.6
9801,920.2
9901,923.4
