n,tiempo[ms]
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,5
136,5
137,6
138,6
139,6
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,7
150,7
151,7
152,7
153,7
154,7
155,7
156,7
157,7
158,8
159,8
160,8
161,8
162,8
163,8
164,8
165,8
166,8
167,8
168,8
169,9
170,9
171,9
172,9
173,9
174,9
175,9
176,9
177,9
178,9
179,9
180,10
181,10
182,10
183,10
184,10
185,10
186,10
187,10
188,10
189,10
190,11
191,11
192,11
193,11
194,11
195,11
196,11
197,11
198,11
199,12
200,12
201,12
202,12
203,12
204,12
205,12
206,13
207,13
208,13
209,13
210,13
211,13
212,13
213,13
214,14
215,14
216,14
217,14
218,14
219,14
220,14
221,14
222,14
223,14
224,15
225,15
226,15
227,15
228,15
229,15
230,15
231,16
232,16
233,16
234,16
235,16
236,16
237,16
238,16
239,16
240,17
241,17
242,17
243,17
244,17
245,17
246,17
247,17
248,18
249,18
250,18
251,18
252,18
253,19
254,19
255,19
256,19
257,19
258,19
259,19
260,19
261,19
262,20
263,20
264,20
265,20
266,20
267,20
268,21
269,21
270,21
271,21
272,21
273,21
274,21
275,21
276,22
277,22
278,22
279,22
280,23
281,23
282,23
283,23
284,23
285,23
286,23
287,23
288,24
289,24
290,24
291,24
292,24
293,24
294,24
295,25
296,25
297,25
298,25
299,25
300,26
