n,tiempo[ms]
1,0
101,0
201,0
301,0
401,0
501,0
601,0
701,0
801,0.2
901,0
1001,0.1
1101,0.1
1201,0.1
1301,0.9
1401,1
1501,1
1601,1
1701,1
1801,1.1
1901,1
2001,1
2101,1
2201,1
2301,1
2401,1.2
2501,1
2601,1.5
2701,2
2801,2
2901,2.2
3001,2
3101,2
3201,2
3301,2
3401,2.1
3501,2
3601,2
3701,2
3801,2.1
3901,2.1
4001,2.5
4101,3
4201,3
4301,3.1
4401,3
4501,3
4601,3
4701,3
4801,3
4901,3
5001,3
5101,3
5201,3.1
5301,3.2
5401,4
5501,4
5601,4
5701,4
5801,4
5901,4
6001,4
6101,4
6201,4.1
6301,4
6401,4
6501,4
6601,4.1
6701,5
6801,5
6901,5
7001,5
7101,5
7201,5
7301,5
7401,5
7501,5
7601,5
7701,5
7801,5
7901,5.1
8001,5.1
8101,5.8
8201,6.5
8301,6
8401,6
8501,6
8601,6
8701,6
8801,6
8901,6.1
9001,6
9101,6.1
9201,6.1
9301,6.1
9401,6.2
9501,6.7
9601,7
9701,7
9801,7
9901,7.1
